添字,タイトル,制作年度,監督,ジャンル1,ジャンル2,主演1,主演2,主演3,主演4,主演5,脚本1,脚本2,脚本3,脚本4,受賞歴,制作国1,制作国2,制作国3,制作国4,イメージ1,重み1,イメージ2,重み2,イメージ3,重み3,イメージ4,重み4,イメージ5,重み5,イメージ6,重み6,イメージ7,重み7,イメージ8,重み8,イメージ9,重み9,イメージ10,重み10
122,パッチギ!,2004,井筒和幸,ドラマ,青春,塩谷瞬,高岡蒼佑,沢尻エリカ,楊原京子,尾上寛之,井筒和幸,羽原大介,0,0,毎日映画コンクール日本映画大賞　キネマ旬報ベスト・0,日本,0,0,0,温かい,0.011856,美しい,0.00944,恐ろしい,0.005384,深い,0.003631,若い,0.002945,つらい,0.002361,良い,0.00233,楽しい,0.001636,珍しい,0.000928,優しい,0.000876
123,宇宙戦艦ヤマト 完結編,1983,西崎義展,ＳＦ,アニメ,富山敬,麻上洋子,納谷悟朗,ささきいさお,仲村秀生,山本英明,笠原和夫,0,0,0,日本,0,0,0,美しい,0.021572,多い,0.021341,暗い,0.009765,珍しい,0.007236,空しい,0.005212,良い,0.001861,若い,0.001145,怖い,0.000924,優しい,0.00082,楽しい,0.00082
124,クレヨンしんちゃん ヘンダーランドの大冒険,1996,本郷みつる,ファミリー,アニメ,矢島晶子,ならはしみき,藤原啓治,田中秀幸,大塚芳忠,本郷みつる ,原恵一,0,0,0,日本,0,0,0,暗い,0.233803,苦しい,0.012409,良い,0.011102,楽しい,0.006567,眩い,0.004838,孤独な,0.004677,凛々しい,0.004331,若い,0.002992,優しい,0.002076,大切な,0.000713
125,風の谷のナウシカ,1984,宮崎駿,ファンタジー,アニメ,島本須美,辻村真人,京田尚子,納谷悟朗,永井一郎,宮崎駿,0,0,0,高崎映画祭特別賞　星雲賞映画演劇部門・メディア部門アカデミー賞メイク・アップ賞,日本,0,0,0,貧しい,0.022485,良い,0.010552,おびただしい,0.005556,大切な,0.00505,素晴らしい,0.004551,切ない,0.004543,手強い,0.003606,難しい,0.003233,若い,0.00271,凛々しい,0.002356
126,ザ・フライ,1986,デヴィッド・クローネンバーグ,ＳＦ,ホラー,ジェフ・ゴールドブラム,ジーナ・デイビス,ジョン・ゲッツ,ジョイ・ブーシェル,レス・カールソン,チャールズ・エドワード・ポーグ,デビッド・クローネンバーグ,0,0,アカデミー賞メイク・アップ賞,アメリカ,0,0,0,多い,0.006007,難しい,0.004733,良い,0.00442,深い,0.002838,貧しい,0.002586,若い,0.002383,逞しい,0.002191,怖い,0.001574,空しい,0.001311,手強い,0.000971
127,ダイ・ハード,1988,ジョン・マクティアナン,アクション,サスペンス,ブルース・ウィリス,アラン・リックマン,ボニー・ベデリア,アレクサンダー・ゴドノフ,レジナルド・ヴェルジョンソン,ジェブ・スチュアート,スティーブン・E・デ・スーザ,0,0,ブルーリボン賞外国作品賞　報知映画賞海外作品賞,アメリカ,0,0,0,悲しい,0.033003,懐かしい,0.017448,切ない,0.014154,古い,0.01367,憎い,0.010237,若い,0.0083,空しい,0.00539,凛々しい,0.003677,大切な,0.003021,楽しい,0.002792
128,ゴジラvsスペースゴジラ,1994,山下賢章,ファミリー,特撮,小高恵美,橋爪淳,米山善吉,中尾彬,大沢さやか,柏原寛司,0,0,0,0,日本,0,0,0,憎い,0.018086,深い,0.016742,暗い,0.012213,楽しい,0.011987,素晴らしい,0.010987,微笑ましい,0.010479,怖い,0.007406,空しい,0.006996,優しい,0.004974,逞しい,0.003926
129,アナザヘヴン,2000,飯田譲治,サスペンス,0,江口洋介,市川実和子,原田芳雄,柏原崇,岡元夕紀子,飯田譲治,0,0,0,0,日本,0,0,0,良い,0.106991,大切な,0.045223,素晴らしい,0.020434,憎い,0.019563,若い,0.018296,怖い,0.01111,つらい,0.010695,優しい,0.010475,楽しい,0.008749,逞しい,0.003198
130,Shall We Dance?,2004,ピーター・チェルソム,ロマンス,コメディ,リチャード・ギア,ジェニファー・ロペス,スーザン・サランドン,スタンリー・トゥッチ,ボビー・カナヴェイル,オードリー・ウェルズ,0,0,0,0,アメリカ,0,0,0,愛らしい,0.00505,若い,0.00369,良い,0.002374,古臭い,0.002038,空しい,0.00127,難しい,0.00107,優しい,0.000821,逞しい,0.000796,憎い,0.000458,怖い,0.000448
131,2001年宇宙の旅,1968,スタンリー・キューブリック,ＳＦ,0,ケア・デュリア,ゲイリー・ロックウッド,ウィリアム・シルヴェスター,ダニエル・リクター,レナード・ロシター,スタンリー・キューブリック,アーサー・C・クラーク,0,0,アカデミー賞視覚効果賞,アメリカ,イギリス,0,0,懐かしい,0.069003,古い,0.067367,古臭い,0.03119,若い,0.007332,大切な,0.00563,楽しい,0.002348,力強い,0.001066,手強い,0.00106,難しい,0.000771,怖い,0.000601
132,交渉人 真下正義,2005,本広克行,サスペンス,ドラマ,ユースケ・サンタマリア,寺島進,小泉孝太郎,高杉亘,松重豊,十川誠志,0,0,0,0,日本,0,0,0,深い,0.006724,良い,0.006276,若い,0.004292,凛々しい,0.00394,眩い,0.003312,逞しい,0.002542,楽しい,0.002531,憎い,0.00141,空しい,0.001374,珍しい,0.001175
133,天空の城ラピュタ,1986,宮崎駿,ファンタジー,アニメ,田中真弓,よこざわけい子（横沢啓子,初井言榮,寺田農,常田富士男,宮崎駿,0,0,0,高崎映画祭特別賞,日本,0,0,0,懐かしい,0.069003,古い,0.067367,古臭い,0.03119,若い,0.007332,大切な,0.00563,楽しい,0.002348,力強い,0.001066,手強い,0.00106,難しい,0.000771,怖い,0.000601
134,Shall we ダンス?,1996,周防正行,コメディ,ドラマ,役所広司,草刈民代,竹中直人,渡辺えり（渡辺えり子）,柄本明,周防正行,0,0,0,日本アカデミー賞作品賞・主演女優賞・主演男優賞・助0,日本,0,0,0,美しい,0.004707,古い,0.003411,楽しい,0.002606,素晴らしい,0.002156,深い,0.001629,難しい,0.001503,優しい,0.001387,良い,0.001151,空しい,0.000752,逞しい,0.000611
135,地球攻撃命令 ゴジラ対ガイガン,1972,福田純,特撮,0,石川博,菱見百合子,梅田智子,高島稔,西沢利明,関沢新一,0,0,0,0,日本,0,0,0,良い,0.010558,優しい,0.007252,深い,0.004672,空しい,0.003584,楽しい,0.002832,大切な,0.002424,手強い,0.001663,逞しい,0.001291,珍しい,0.000722,孤独な,0.000042
