添字,タイトル,制作年度,監督,ジャンル1,ジャンル2,主演1,主演2,主演3,主演4,主演5,脚本1,脚本2,脚本3,脚本4,受賞歴,制作国1,制作国2,制作国3,制作国4,イメージ1,重み1,イメージ2,重み2,イメージ3,重み3,イメージ4,重み4,イメージ5,重み5,イメージ6,重み6,イメージ7,重み7,イメージ8,重み8,イメージ9,重み9,イメージ10,重み10
34,マルタイの女,1997,伊丹十三,コメディ,サスペンス,宮本信子,西村雅彦,村田雄浩,高橋和也,津川雅彦,伊丹十三,0,0,0,報知映画賞助演男優賞　日刊スポーツ映画大賞助演男優星雲賞映画演劇部・メディア部門,日本,0,0,0,美しい,0.014193,面白い,0.01109,良い,0.009734,若い,0.00887,手強い,0.002627,楽しい,0.002615,逞しい,0.001346,派手な,0.001206,派手な,0.001206,空しい,0.001084
35,ガメラ2 レギオン襲来,1996,金子修介,ＳＦ,特撮,永島敏行,水野美紀,石橋保,吹越満,藤谷文,伊藤和典,0,0,0,星雲賞映画演劇部・メディア部門,日本,0,0,0,おかしい,0.026609,恐ろしい,0.023904,怖い,0.009196,珍しい,0.008293,空しい,0.00526,良い,0.004317,若い,0.003911,逞しい,0.002747,貧しい,0.001037,つらい,0.000958
36,ラストサムライ,2003,エドワード・ズウィック,アドベンチャー,時代劇,トム・クルーズ,ティモシー・スポール,渡辺謙,真田広之,小雪,エドワード・ズウィック,マーシャル・ハースコヴィッツ,0,0,ブルーリボン賞特別賞,アメリカ,0,0,0,古い,0.136494,古臭い,0.120182,若い,0.021508,良い,0.003184,逞しい,0.001999,楽しい,0.001192,清々しい,0.000932,怖い,0.000867,貧しい,0.000803,つらい,0.000799
37,トータル・リコール,1990,ポール・ヴァーホーヴェン,アクション,ＳＦ,アーノルド・シュワルツェネッガー,レイチェル・ティコティン,シャロン・ストーン,ロニー・コックス,マイケル・アイアンサイド,ロナルド・シュセット,ダン・オノバン,ジョン・ポーヴィル,0,0,アメリカ,0,0,0,怖い,0.007595,古臭い,0.00543,若い,0.005162,切ない,0.003247,楽しい,0.003218,珍しい,0.002473,良い,0.002355,逞しい,0.001471,凛々しい,0.000256,たまらない,0.000091
38,鉄道員,1999,降旗康男,ドラマ,0,高倉健,大竹しのぶ,広末涼子,吉岡秀隆,安藤政信,岩間芳樹,降旗康男,0,0,日本アカデミー賞作品賞・主演女優賞・助演男優賞　日0,日本,0,0,0,若い,0.019648,面白い,0.009601,良い,0.0081,憎い,0.006264,珍しい,0.003809,優しい,0.003778,大切な,0.003131,楽しい,0.002764,逞しい,0.001075,巧みな,0.000296
39,ダーティハリー,1971,ドン・シーゲル,アクション,0,クリント・イーストウッド,ハリー・ガーディノ,アンディ・ロビンソン,ジョン・バーノン,レニ・サントーニ,ハリー・ジュリアン・フィンク,アンディ・ロビンソン,ディーン・リーズナー,0,0,アメリカ,0,0,0,愛らしい,0.003102,良い,0.002827,偉い,0.002265,空しい,0.002128,若い,0.001744,逞しい,0.001401,憎い,0.001243,眩い,0.000939,楽しい,0.000663,つらい,0.000405
40,フランケンシュタイン,1994,ケネス・ブラナー,ホラー,0,ロバート・デ・ニーロ,ケネス・ブラナー,トム・ハルス,ヘレナ・ボナム・カーター,エイダン・クイン,ステフ・レイディ,フランク・ダラボン,0,0,0,イギリス,日本,アメリカ,0,深い,0.013619,おびただしい,0.004636,若い,0.003861,凛々しい,0.002851,難しい,0.001697,優しい,0.001418,楽しい,0.001408,貧しい,0.000964,古臭い,0.000941,手強い,0.000628
41,もののけ姫,1997,宮崎駿,時代劇,アニメ,松田洋治,石田ゆり子,田中裕子,小林薫,西村雅彦,宮崎駿,0,0,0,日本アカデミー賞作品賞　毎日映画コンクール日本映画0,日本,0,0,0,悲しい,0.033003,懐かしい,0.017448,切ない,0.014154,古い,0.01367,憎い,0.010237,若い,0.0083,空しい,0.00539,凛々しい,0.003677,大切な,0.003021,楽しい,0.002792
42,さらば宇宙戦艦ヤマト 愛の戦士たち,1978,舛田利雄,ＳＦ,アニメ,納谷悟朗,富山敬,仲村秀生,麻上洋子,神谷明,舛田利雄,0,0,0,0,日本,0,0,0,青白い,0.081229,暗い,0.02595,巧い,0.009558,古い,0.008806,逞しい,0.005164,つらい,0.00299,良い,0.002982,若い,0.00209,楽しい,0.001747,珍しい,0.000721
43,最終兵器彼女,2006,須賀大観,ロマンス,ＳＦ,前田亜季,窪塚俊介,木村了,貫地谷しほり,須賀大観,清水友佳子,0,0,0,0,日本,0,0,0,強い,0.015735,手強い,0.01489,良い,0.013657,若い,0.009518,珍しい,0.005615,怖い,0.004464,優しい,0.003424,大切な,0.002712,逞しい,0.002322,楽しい,0.001615
