70,30,5
70,24,5
71,35,4
71,79,4
71,17,4
71,51,4
71,27,4
72,30,4
72,73,5
72,89,5
72,96,5
72,110,3
73,17,5
73,30,3
73,46,3
73,133,3
73,131,5
74,5,5
74,114,5
74,60,5
74,27,5
74,51,5
75,5,4
75,17,4
75,132,4
75,101,4
75,52,3
76,46,3
76,61,4
76,66,4
76,77,4
76,38,3
77,51,3
77,27,4
77,96,4
77,21,5
77,87,4
78,4,5
78,5,5
78,17,5
78,30,5
78,46,5
79,36,3
79,68,5
79,46,4
79,51,3
79,61,5
80,8,5
80,35,5
80,36,5
80,79,5
80,62,5
81,4,3
81,8,3
81,30,4
81,79,4
81,114,3
82,8,3
82,79,3
82,27,5
82,51,4
82,58,4
83,5,4
83,19,4
83,68,4
83,103,4
83,65,5
84,4,5
84,79,3
84,17,4
84,60,4
84,24,5
85,46,3
85,131,4
85,77,3
85,16,4
85,42,3
86,8,4
86,114,4
86,132,3
86,40,5
86,51,3
87,17,5
87,19,4
87,132,5
87,70,3
87,27,5
88,17,4
88,36,4
88,132,3
88,93,4
88,66,4
89,4,4
89,30,4
89,35,4
89,36,3
89,27,4
90,60,5
90,97,5
90,58,5
90,2,3
90,22,4
91,114,3
91,132,3
91,61,4
91,65,4
91,70,5
92,5,4
92,79,4
92,71,4
92,41,4
92,56,3
93,73,5
93,1,4
93,82,4
93,6,5
94,5,4
94,17,4
94,114,4
94,70,4
94,97,4
95,4,5
95,17,5
95,114,4
95,58,4
95,61,5
96,4,3
96,103,4
96,79,4
96,17,3
96,60,4
97,5,4
97,58,5
97,122,5
97,2,4
97,88,5
98,36,5
98,5,5
98,103,5
98,68,3
98,97,5
99,30,3
99,58,3
99,131,3
99,42,3
99,14,4
100,4,4
100,87,4
100,130,3
100,119,4
100,98,4
101,76,3
101,97,4
101,40,4
101,87,5
101,34,3
102,46,5
102,2,5
102,9,5
102,81,5
102,119,3
103,68,5
103,46,5
103,58,5
103,81,3
103,22,5
104,30,3
104,132,3
104,40,4
104,66,3
104,101,4
105,5,4
105,103,5
105,17,4
105,114,5
105,113,3
106,36,3
106,68,5
106,76,3
106,79,5
106,33,5
107,79,4
107,54,4
107,26,4
107,126,4
107,32,4
108,17,5
108,19,5
108,33,5
108,132,5
108,46,3
109,5,3
109,17,5
109,19,5
109,76,5
109,79,3
110,17,5
110,36,5
110,132,3
110,40,3
110,97,5
111,132,3
111,130,3
111,11,3
112,76,3
112,30,3
112,114,4
112,65,5
112,132,3
113,36,3
113,103,3
113,68,5
113,30,5
113,33,5
115,132,3
115,46,4
115,89,5
115,124,5
115,66,5
116,5,5
116,17,5
116,30,4
116,36,4
116,68,5
117,35,4
117,103,4
117,4,4
117,132,3
117,46,4
118,60,5
118,108,4
118,16,5
118,113,5
118,47,5
119,5,3
119,9,5
119,48,3
119,99,4
119,125,5
120,76,3
120,65,3
120,70,3
120,51,3
120,89,3
121,36,3
121,62,4
121,60,4
121,27,4
121,46,5
122,35,4
122,8,5
122,103,4
122,76,4
122,79,5
123,4,5
123,5,3
123,51,3
123,65,4
123,16,5
124,5,5
124,8,5
124,76,5
124,79,5
124,103,5
125,8,5
125,17,5
125,19,5
125,79,5
125,24,4
126,5,5
126,36,5
126,76,3
126,103,5
126,46,4
127,5,3
127,16,3
127,108,3
127,10,3
127,11,4
128,41,4
128,48,5
129,33,4
129,27,4
129,40,5
129,51,4
129,97,5
130,8,3
130,76,4
130,17,3
130,114,4
130,61,3
131,73,3
131,86,3
131,38,5
131,6,3
131,23,4
132,8,4
132,36,3
132,79,4
132,61,3
132,97,4
133,8,4
133,106,5
133,105,5
133,6,5
133,38,3
134,17,5
134,19,3
134,36,3
134,68,3
134,103,5
135,35,3
135,36,3
135,103,3
135,27,3
135,46,3
137,46,3
137,41,4
138,5,3
138,8,3
138,17,3
138,68,3
138,79,3
139,5,4
139,8,3
139,17,4
139,30,4
139,76,3
141,65,5
141,77,5
141,47,5
141,88,5
141,67,3
142,8,3
142,19,3
142,35,5
142,36,3
142,79,3
143,73,5
143,46,5
143,6,5
143,38,4
143,86,3
144,4,5
144,103,3
144,58,3
144,66,5
144,101,3
145,79,4
145,17,4
145,19,4
145,114,4
145,62,4
146,40,4
146,51,3
146,2,5
146,14,3
146,32,4
147,8,5
147,103,5
147,62,5
147,114,5
147,58,5
148,5,4
148,17,5
148,40,3
148,46,3
148,133,3
149,30,5
149,36,3
149,79,3
149,103,3
149,24,3
150,5,4
150,17,5
150,40,4
150,46,3
150,2,5
151,24,4
151,127,4
151,14,4
151,26,4
151,3,4
152,132,3
152,77,4
152,14,4
152,22,3
152,87,4
153,79,4
153,17,4
153,40,3
153,108,4
153,109,5
154,68,3
154,30,3
154,62,5
154,131,3
154,126,3
155,17,5
155,36,5
155,66,5
155,109,5
155,9,3
156,4,4
156,8,3
156,17,5
156,103,4
156,132,4
157,30,4
157,46,3
157,16,3
157,52,4
157,56,3
158,36,3
158,76,4
158,35,5
158,30,4
158,60,4
159,33,4
159,93,4
159,108,4
159,127,4
159,9,3
160,4,5
160,68,3
160,76,5
160,62,5
160,60,5
161,5,4
161,19,4
161,36,3
161,76,3
161,79,5
162,35,4
162,36,3
162,62,4
162,33,4
162,27,3
163,4,4
163,5,3
163,103,3
163,70,3
163,73,4
164,4,5
164,5,3
164,19,3
164,68,3
164,76,4
165,26,3
165,14,3
165,130,3
165,34,3
166,8,5
166,19,3
166,35,5
166,79,5
166,103,5
167,68,5
167,70,5
167,40,4
167,66,4
167,41,5
168,36,5
168,103,4
168,17,5
168,30,4
168,58,5
169,66,4
169,41,3
169,118,3
169,105,3
169,88,3
170,19,5
170,36,5
170,68,5
170,24,5
170,33,5
171,8,5
171,35,5
171,36,3
171,79,5
171,103,5
172,93,4
172,88,3
172,130,4
172,13,4
173,17,5
173,68,5
173,132,5
173,58,3
173,9,5
174,36,3
174,68,4
174,40,4
174,96,5
174,42,4
175,5,5
175,19,4
175,36,3
175,68,5
175,76,5
176,5,4
176,14,5
176,130,5
176,37,4
176,134,5
177,76,4
177,131,4
177,133,5
177,77,4
177,9,5
178,58,3
178,51,3
178,2,5
178,22,5
178,87,3
179,17,3
179,68,3
179,103,3
179,24,3
179,33,3
180,77,5
180,109,5
180,52,3
180,96,4
180,42,5
181,8,4
181,51,4
181,40,4
181,93,4
181,106,3
182,117,5
183,4,4
183,66,5
183,92,5
183,56,3
183,21,5
184,30,4
184,36,4
184,76,4
184,27,5
184,46,4
185,68,3
185,30,3
185,132,5
185,46,3
185,89,3
186,4,4
186,36,3
186,76,3
186,112,3
186,62,4
187,79,3
187,30,3
187,36,3
187,24,3
187,132,3
188,4,3
188,70,3
188,27,4
188,61,3
188,71,3
189,76,4
189,19,4
189,62,5
189,60,4
189,33,4
190,103,5
190,76,5
190,79,4
190,66,5
190,133,5
191,51,3
191,41,4
191,109,4
191,77,4
191,57,3
192,109,5
192,77,5
192,14,5
192,22,5
192,2,5
